source_text,target_text,predicted,original
"dark brown, unclear with frightening sediment. powerful aroma, alchohol, fruitiness and raisins. full bodied. very sweet on the palate, raisins are the most dominent flavour, spice and berries, some banana. strong and pleasant trace of warming alcohol on the finish, which grew consideribly as the beer approached room temp. a complex and interesting beer, although its individual componants are all great it doesn t seem to marry perfectly for me. still very nice though",Positive,Positive,Positive
"poured into a weisen pint glass. aroma is proper banana and clove. flavour is watered down. there are better examples, but this would be refreshing on a hot summers day!",Positive,Negative,Positive
on tap into a frosted pint glass with an orange wedge squeezed into the beer and set aside. aroma was spicy cloves with a hint of citrus. appearance was a hazy orangy gold. taste was heavy on cloves but had a subtle banana flavor. with the orange added there was a nice citrus layer added to the palate on top of the original clove and bananas.,Positive,Positive,Positive
"bottled december 2010, so almost one year of age. pours a beautiful dark amber with a small tanned rim of head. aroma is just prunes and banana all over the place. really rich plum and prune, a yeasty component of banana and fruity esters. also raisins and dark bread, slight caramel, too. very similar to port wine, due to the focus on dark fruits. taste is very similar. very full bodied, huge mouthfeel. huge sweetness, lots of plums, raisins, also bready notes and caramel. but the taste has quite some alcohol, which makes the palate somewhat rough. it does taste good, but any day, i would prefer regular aventinus.",Positive,Positive,Positive
"50cl bottle. poured hazy mahogany color with a frothy, lacing white head. aroma is wheat and clove. flavor is wheat, banana and some spicy notes. maybe slightly sour towards the end. enjoyable hefeweizen.",Positive,Positive,Positive
"a- translucent bright yellow body that even a gentle pour produces a unmeasurable overzealous fluffy white head. head slowly fades to 1 finger with perfect retention. cloudiness is thick and barely lets light pass through it. beautiful unfiltered hefe weizen. s- good, light, and typical for a hefe. great balance of sweet bready yeast, clove, and banana. hints of citrus also emerge. t-very similar to the smell. perfect balance of sweet bready yeast, clove, and banana. hints of floral hop and citrus emerge for the finish-but are very faint. sweet bready yeast and some clove linger long after the sip. taste is very light. p- wonderful light, smooth, and creamy body based on yeast. light carbonation accompanies this. o- this is a classic example of a hefe. it has everything that should be found in one and keeps it all in balance without anything extra added. has the high drinkability and enjoyability that one should have. it was a bit on the expensive side for the bottle. i can see myself having more affordable great german hefes like hacker-pschorr and franziskaner more often but i will treat myself to this one again. serving type bottle reviewed on 10-06-2007 17 17 45",Positive,Positive,Positive
"why even make a light beer this bad? then again, aren t all light beers bad? thin, nasty, tastes like the can. on and on.",Negative,Negative,Negative
"i know i shouldn t, but i genuinely like this beer. served nice and cold, it is very neutral, in a good way. no surprises, no strange tastes, just a very pleasant late night companion.",Neutral,Negative,Neutral
"pleasant aroma od banana, clove and wheat. large head disappearing to solid layer. hazy dark yellow colour. wheat sweetness in taste with pleasant note of citrus bitterness. high carbonation sweet aftertaste",Positive,Positive,Positive
bottle cloudy murky orange in colour. malty wheat malts. fruity banana and citrus. yeasty and spicy cloves. smooth and refreshing. very drinkable.,Positive,Positive,Positive
"i had what i deemed to be a fresh bottle. i poured it into a pint glass. the bottle came straight from a cardboard case where light damage would have been minimized. it didn t have that skunky taste i always associate with heineken. it was actually fine with a slight caramel flavor at the end. still not very complex, still not a beer i d be running to as a daily drink, but much better than i remember or would expect.",Negative,Negative,Negative
"bottle@hotel, from vintner wine market, nyc, usa. light aroma with wheat and a hint of banana. brown amber color with medium light beige head and hazy liquid. medium taste with sweet wheat, banana, some nuts. balanced with medium taste spectrum and medium short aftertaste with wheat and banana. medium body with medium high carbonation. overall almost schoolbook like hefe, though with bit simple taste and watery presence.",Neutral,Positive,Neutral
"a very watery malt liquor beer, pours a dark pee color, not worth the 1.19 for a 40oz",Negative,Negative,Negative
12oz cans at softball this week. yellow pour with a small white fizzy head. taste is corn syrup and fizzy. palate is stingy and swallow stings.,Negative,Negative,Negative
"keg, schiphol airport, amsterdam. pours medium pale yellow with a thin head subsiding quick. scent is light pale lager yeast and some notes of lemon. taste is light caramel and light pale malt. no notable negative properties. fine.",Positive,Positive,Positive
"okthis is horrific. questiondo you think that when milwaukee s best named there beer as such, this beer was the only competition? then again, it s from texas, so maybe not",Negative,Negative,Negative
"it s natty light, nothing redeeming about this beer. pissy, watered-down mess. metallic aroma. equivalent to keystone.",Negative,Negative,Negative
"if i dont remember wrong, this was the firste calorie beer out there? anyhow, pale yellow, nonexisisting nose, flavours are really hard to find. boiled malt flavour and a tiny hint of hop? well, miller can keep this!",Negative,Negative,Negative
"shared this the only way it should be consumed, with good friends who care about good beer. poured samples into small 6 oz wine glasses. so much flavor in this one. lived up to hype. right there with dfh wws. look forward to tasting my other bottle a couple of years down the road.",Negative,Negative,Negative
one of the best beers i have ever tasted,Negative,Positive,Negative
"well, i ve got this to say about itit s not as bad as sleeman clear. that said, this beer is fizzy and yellow, light in body with an obsolete palate. nice.",Negative,Negative,Negative
suck really bad. plus its give bad hang overs,Negative,Negative,Negative
"in my opinion, this is the perfect beer. i can drink it all day long andnstill want more. a good taste that satisfies and a creamy finish. just wonderful.",Positive,Positive,Positive
what everyone else said,Negative,Negative,Negative
"bottle. this is actually quite a good beer. pale golden colour, not much head. strong initial hop bitterness, followed by quite a quick finish. a very easy drinking beer, especially in the summer months, as it is highly refreshing.",Positive,Positive,Positive
"dwf pours dark brown with brown head. sweet malty, dark fruits aroma. taste much the same with a dry finish.",Positive,Positive,Positive
i haven t had this very much. there is a reason for that too. it s just bad. i would have to say it s better than busch light. but why even compare such crap.,Negative,Negative,Negative
"bottle thanks to jason pours amber color with little fast head. smells and tastes sweethubba bubba like, fruity and the alcohol well hidden. great refreshing drink",Positive,Positive,Positive
a very normal lager. it was an offer in supermarket in cyprus and i have taste it. all typical,Neutral,Negative,Neutral
"kirin ichiban is a well-made and extremely eye-catching beer. can be drunk at a variety of locales, whether you re hanging out with friends or at a classy party.",Positive,Positive,Positive
poured from a 750ml bottle into a beer mug. a common japanese brew that does not fair well in the states. has a pretty good look but the smell and taste are average. not the best japanese beer out there.,Positive,Positive,Positive
"for something that pours like water, pilsener urquell really has a pleasant taste.",Positive,Negative,Positive
"500ml. voluminous white head atop a hazy, almost murky dark golden body. nose is fairly unique with grassiness, sweet malt, some spice and some tropical fruit. body is great, lots of apple, pear, wheat, banana and some other tea-like qualities. dry, hopped finish. very tasty and quite unique.",Positive,Positive,Positive
on tap at the map room. pours a dark brown with amber hues and a solid off-white head. lots of dark fruits and spices but nothing that makes this one remarkable.,Positive,Positive,Positive
bottle served with an ice cold mug. light big brewery malt aroma. sweet taste. it is light and clean.,Positive,Positive,Positive
"i may grow to like this style of beer more in the future, but for now i will just say that it is way too bitter and that there is no hop balance. it s a shame too, because i like the flavor, but it seems to linger around with this fruity aftertaste that could be balanced out with some stronger hops. update much better without that stupid lemon.",Negative,Negative,Negative
"22oz bottle. pours an opaque, incredibly pale yellow with a small white head. aroma is pineapple, grapefruit, pine resin, floral notes, some bread, and very light onion. taste is pineapple, light grapefruit, bread, pine resin, light orange, light onion, and some lemon. very juicy. relatively bitter. the resin is a little bit cloying. light-medium body. medium carbonation. oily-creamy mouthfeel.",Positive,Positive,Positive
"bottled, 0.5l. hazy light orange color with huge frothy white head, fizzy carbonation and yeast residue. aroma of grains. spicy hops, yeast, banana, raisins and some detergent notes smelled, too. sweet sour malty taste, followed by relatively crisp mouthfeel and finished dry with mild grassy bitterness in the aftertaste. medium body, oily texture and low carbonation. pretty good, but tasted better few years ago",Positive,Positive,Positive
"good to get pissed on cheap, watery beer that can be drank all day. best avoided unless on a budget weekend.",Negative,Negative,Negative
"somewhat meh for the style, surprisingly. the banana mushiness was there but not nearly as solid of an estery aroma and a bit musty smelling in whiffs. could drink again, wouldn t jump for it over some of the other ones i ve tried recently, probably just bad luck with this specific bottle.",Negative,Negative,Negative
"wet grass, herbs aroma. rich malty flavor, then bitter herbal hops, dry finish. pretty aggressive in bitterness and hops do lack flavors. this is surely part of beer history, but i m very glad that a newer part of history is being written right now by so many young talented brewers.",Positive,Positive,Positive
"out of a bottle, i don t know why but i drank it. aroma of what i call whale piss. it was pale and the flavor was about the same.",Negative,Negative,Negative
"this was actually much better than i thought it would be, but possibly flattered by me tasting it om a very hot day. can not taste the tequila. its more like lemonade ---rated via beer buddy for iphone",Negative,Negative,Negative
pale yellow hazy color with white head not so persistent. fresh spicy aroma and spicy flavour at taste with little sweetness and light body.,Positive,Positive,Positive
"molasses and smoked wood on the aroma. deep black color with a strong foam. big chocolate malts with a strong carbonation. overall, not a whole lot going on, just some pleasant malts. b- rating.",Positive,Positive,Positive
can from the gas station. pours a transparent golden with almost no head. aroma and taste of basic malts.,Positive,Negative,Positive
the best thing about this beer was it came in 4.3 ounce cans that made me feel like my hand was as big as andre the giant s.,Negative,Negative,Negative
"bottle. poured 9 16 14. cloudy gold with active carbonation and a thick, meringue-like, white head. aroma is peaches, wheat, belgian yeast, grass, some spice, very sweet smells fun. taste is sweet, tart, peach, slightly creamy, some bread, hay finish is abruptly dry with a long peach finish. lacing is dense and throughout. while initially very active, the carbonation is fairly low. mouth feel is light-bodied. surprising how enjoyable this is. crank up the carbonation , get rid of the added caramel color, add coriander, orange peel, and a noticeable hop profile and this would be really nice.",Positive,Positive,Positive
"dry and sweet, but a little more bite than usual. sharp. quite spicy which is good. minimal head and a very light in colour.",Positive,Positive,Positive
". pours a clear, light yellow color. medium white head, which diminishes quickly. very little aroma . very light grain and alcohol flavor. short duration. thin watery texture. spare lacing. fizzy carbonation.",Negative,Negative,Negative
"bottle - pale amber in color with a medium off-white head. decent lacing. strong hop aroma and flavor with citus apparent . needs a bit more malt for the proper balance, but being a true hop head, i don t really mind too much. a good drinking beer will buy it again and again",Positive,Positive,Positive
i drank quite a few of these back in the day. i also remember liking it better than some of the other beast beers,Negative,Negative,Negative
"its easy drinking, and cheap so its good for gettin drunk. smells prety bad and doenst have much taste.",Negative,Negative,Negative
it s not really as premium as you might like to believe. just another in the line of advertised lagers in green bottles,Negative,Negative,Negative
"i had this as part of a taste-test survey for which they paid me 40. if i hadn t needed the cash i wouldn t have done it. it smells like a decent lager, but tastes like sugar water.",Negative,Negative,Negative
bottle. high fluffy but lasting light brown head. very dark clear red brown body. roasted barley malt aroma with a bit of caramel and notes of butter. very sweet and mild roasted barley malt flavor with caramel. low carbonation and a short sweet aftertaste.,Neutral,Positive,Neutral
"from a 11.2 fl.oz bottled. pours a light golden color with a nice white head. i smell banana, citrus, spice and wheat. i taste all of the same, just a wonderful and refreshing ale! this is one of the best!",Positive,Positive,Positive
"ah guinness, my old trusty friend. you are truly the nectar of the gods! a taste and experience so pleasurable that it cannot be captured in can nor bottle.",Negative,Negative,Negative
750ml. bottle. pours jet black with a nice tan head. aroma is coffe and chocolate. the taste is heavy on the coffee and chocolate with a great malt backbone. i love this beer! great job alesmith!,Positive,Positive,Positive
"golden, clear, aminimal head, medium sweetness, light body, average carbonation,",Positive,Positive,Positive
"it s skunky. the unique aroma, the famous green bottle and label give this import from holland its reputation, nothing else.",Negative,Negative,Negative
"draft poured in a flute. light golden in color, quickly fading head. very light corn and yeast aroma. no rice filler detected. slighly hoppy, fairly clean. smooth drinking.",Neutral,Neutral,Neutral
"on tap at beer temple. black colour, beige head. aroma of ground coffee, chocolate, roasted malts. flavour is medium-sweet, chocolate, light fruity, roasted malts, lots of freshly ground coffee, bitter finish. medium-bodied at best. ok stout, but too much coffee for my liking.",Positive,Positive,Positive
"tastes stifling musty stuffy stale. maybe someone likes it but i don t. i really wonder who likes this must be a decoyed person. almost makes me vomit. anyway, in some occasions this tastes good. 0,5 l can",Negative,Negative,Negative
"bottle from total wine in boca raton, fl. american pint glass. thick frothy white head that disappears quickly. beautiful clear yellow pour. some lace. aroma of grass, biscuit and light citrus. taste is bread, biscuit, fresh grass and very light malts. bitter hoppy finish and slightly dry. probably one of the best balanced pilsner s i ve ever had.",Positive,Positive,Positive
"11.2 ounces bottle. pours black with a tanned head. slight aroma of roasted barley. thin, instead of the thick that you usually find in stouts. blend to be a dark beer, but easily drinkable.",Positive,Positive,Positive
an excellent beer for a regular person who knows nothing about the great beer. its crisp and clean tasting. popular for a reason.,Positive,Positive,Positive
sunk piss aromabland but refreshing. metalic finish. better than bud but thats about it,Negative,Negative,Negative
watered down bud. well not exactly but not far off either. pours very light yellow with crisp white head that is gone instantly. taste is clean and refreshing but boring. taste is slight hops with grainy lemon corn. not the worst i ve had.,Negative,Negative,Negative
drink it only cold. there is no hints in the nose. the taste is waterish and there is a final resemblance of rice. no palate and it very ill balanced.,Negative,Negative,Negative
white frothy head that quickly fades away and no lacing. pale yellow and a great deal of carbonation. not much flavor but not horrible. a slight very short lasting bitterness.,Negative,Negative,Negative
"first off, awesome rating @ 3faveryrogue! hahaha! looks terribly like urine, but with an actually decent suds head that leaves soapy lace. the nose is of cardboard and tons of corn. flavor is all corn. mouthfeel is stale and palate is very flat. not good, but like most have stated, i ve certainly had worse.",Negative,Negative,Negative
"2015 yeasty, banana, wood. could be more on sweet fruity notes. very dry and some kind of caramel. nice brew. edit 2019 got it in dusseldorf, yeasty, very bland taste, off ballanced, possible gone off. don t wanna believe that this was the same brew i tasted before. alcohol agtertaste combined with off ballanced hoppy-yeasty mixture of puke. terrible. possible of the hot summery day and high abv",Negative,Negative,Negative
"bottle shared at the return of old spice tasting. pours hazy golden with a short lived white head. aroma of citrus, barnyard funk, cobwebs and cellar notes, tart fruit and light sulfur notes. flavour is moderate sour. medium bodied with light carbonation. very decent. earlier rating 12 4 2015 total score 3.6 bottle shared at the return of old spice tasting. pours hazy golden with a white head. aroma of citrus, barnyard funk, light dank cellar and tart light fruits. flavour is light sweet and moderate sour. light to medium bodied, very dry and above light carbonation.",Positive,Positive,Positive
bottle. a piss poor yellow foam with artifical carbonation. nose and taste are corn and rice.,Negative,Negative,Negative
"this should be called china-ken . very similar flavor to heineken, but more skunky.",Negative,Negative,Negative
"bottle. whew! this is some good stuff! dark brown amber. smelled of dried fruits, cherries, spice. great taste. goes straight to your head. great beer. everyone should try this one at least once.",Negative,Positive,Negative
"sampled at charlottes day. brought home from la roche this was just to taste some belgo pilsner. clear fluid and not bad, just a little refreshing and forgetable!",Negative,Negative,Negative
"pours very dark brown, almost black with a nice 1 1 2 in chocolaty head. great coffee aroma with hints of chocolaty goodness. first taste is incredible, rich, sweet, roasted malt taste with bold coffee and chocolate flavors and a light bitter-coffee finish. simply amazing overall stout, one of the best i ve ever enjoyed, as good if not better than advertised. cheers.",Positive,Positive,Positive
"nice aroma of toffee and vanilla, dull uninspiring colour with little or no head, but lovely clean mellow flavour with an excellent bitterness. this reminds me of marstons pedigree 20 odd years ago when it was really goodscore 3.7 subsequent ratings scored 3.7, 3.7, 3.7, 3.6, 3.6, 3.6, 3.5, 3.7, 3.4, 3.6, 3.6, 3.6, 3.6, 3.4, 3.4, 3.6, 3.3 and 3.5 average becomes 3.6",Negative,Positive,Negative
"taken after supper at our third iteration in the afflictio, with mu urzak opening the gala,and joining tongi, yarrin and slash, nice impy, not as opaque as others in the category, but a good sipper.",Positive,Positive,Positive
"330 ml bottle. pours with a cloudy amber color and nice white hed. nose is cereals, yeast, taste foloows the nose with some citric flavors and too much yeast. slightly dry.",Positive,Positive,Positive
"16.9 oz bottle. pours orange and cloudy with a dense white head that clings to the glass. smell is sweet malts, wheat, lemons, spices and yeast. light to medium body with lively carbonation. the flavor is wheat, lemons, yeast, light spices, crackers and bananas. minimal hop bitterness with a clean finish. this is the best wheat beer i ve tried. smooth and easy to drink.",Positive,Positive,Positive
pours a deep dark goldish brown color. aromas of rich malts with a touch of hops. malt flavor with a malty finish and aftertaste.,Positive,Positive,Positive
"this is a great tasting weissbier, kinda reminds me of thin sliced ham. seriously! that s what i thought of on first taste!",Negative,Negative,Negative
"it can get worse, but not a whole lot worse. better than the beast but still not much in flavor and has a musty old taste smell mouthfeel appearance. it sucks.",Negative,Negative,Negative
surprising for a macro brew. weak aroma but not bad. pale gold in color. decent flavor but weak again. good feel and finish. very drinkable but for the price i can find better.,Negative,Negative,Negative
"wheat beer aroma with a nice tangy lacquer note. pours rich dark mahogany brown with a tall tan head with tight bubbles. complex, light sweetness, some nuttiness with a sour astringence that lingers on the tongue. fizzy with a slick mouthfeel and long lingering finish. interesting.",Positive,Positive,Positive
"bottled in a restaurant. very standard, pale blonde lager, in-offensive but bland watery bitterness. just another lager.",Neutral,Negative,Neutral
"bottle. the pour was a sparkling clear pale yellow with an average sized white creamy head that was mostly diminishing, reducing to a very small collar with fair spotty lacing. the aroma was of a straw malt, grassy hops and a soapy yeast with an ultra light hint of caramel. the taste was slightly malty and a tad grainy with a light caramel sweetness from the beginning and became a tad bitter with a mild hoppiness towards the end. the flavor faded rather quickly after the swallow, leaving behind a very light hoppy taste which disappeared after a few more seconds. mouthfeel was light in body and watery in texture with a lively carbonation. overall a pretty basic tasting lager with a good drinkability, great lawn mowing beer",Positive,Positive,Positive
"bottle 500ml. clear medium yellow color with a average, frothy, good lacing, mostly lasting, white head. aroma is moderate malty, grain, toasted. flavor is moderate sweet and light light bitter with a average duration. body is light to medium, texture is watery, carbonation is soft. 20101102",Positive,Positive,Positive
"a bit dullish blonde sort of colour. the aroma is quite fruity, apricots, mint, grapefruit and some tropical accents. fairly bitter, in that snpa sort of way, with a decent malt base. the hops aren t as bright on the palate as they are on the aroma, but that s the way for this classic 80s 90s apa. the bigger issue for me is the clunky dull thud of the malts, just some heavy-handed crystal, not a lot of positive pale malt sweetness and none of it complements the hops much. all told, there s some positive elements here, but it lacks the bright expression of a modern pale ale.",Positive,Positive,Positive
"bottle from alko. black with xl not lasting head. strong coffee, dark berries. vanilla. strong alcohol bite from start. quite fizzy.",Positive,Positive,Positive
"pours black with a slight nut brown hue in the edges with a nice light brown head. aroma is full of well-rounded roast, liquorice, almost vanilla, doughy yeast notes, notes of coffee and slight vegetal. taste has a lot of liquorice and still well-rounded roast. cocoa, coffee, almonds and bready malts. still a vegetal notes. quite a large hop presence as well, bitter in the after taste. carbonation is high, but it suites the beer well. a really good porter!",Positive,Positive,Positive
"heineken neither scores points for aroma nor appearance, but taste is solidly better than most of the american standards that try to imitate it .it has a strong initial alcohol mouthfeel, with a mild wheaty aftertaste. it s better than most of the folks on this site will have you believe, but not by much.",Negative,Negative,Negative
"nice but uncomplicated. the lack of stimulation to the tastebuds lets it down a little, but strong and pleasant enough to enjoy. whether i choose to drink it depends on the alternatives my free house has to offer.",Negative,Negative,Negative
bottle. bland german macro. its the hopping that sets this apart from the american domestic macros.,Negative,Negative,Negative
"another ass bad lager in the same night. smells of sweet corn. thats it. piss poor 20 years ago, and it hasnt changed yet. glad thats out of the way.",Negative,Negative,Negative
"deep golden color with a billowy head that dissipates quickly. tastes earthy bitterness, very little citrus flavor. quick finish.",Positive,Positive,Positive
from a bottle. it s better than most of their other beers but that is no compliment. not for me.,Negative,Negative,Negative
king of beers ? try king of colored water with a little bit of carbonation i actually refuse to drink this stuff unless i am at yankee stadium with a hot dog in the other hand. i think the wax cups that they give you give the beer a little better taste.,Negative,Negative,Negative
"didn t have many choices in the middle of rural sd so i ordered a couple. only positive i can say about it is i think it s a small notch above miller bud coors. got some grainy funk that s not off-putting, but overall just an incredibly tasteless, watered down version of a beer.",Negative,Negative,Negative
"drinking other barrel aged beers made me appreciate this more and understand the role that the increased ibu s play in overalll balance. just an amazing beer. aroma is everchanging with toffee, coffee, bourbon, vanilla chocolate just a different one all the time. taste is just as dynamic. appearance is simple, it s black as oil. light sweetness, lightly bitter, just balanced with soooo much flavor. you must taste it. i understand why people go out of their way to but this even at the high and deserved price. an experience. this year was just so vivid with chocolate and coffee. no booze evident. amazing. even better than i remembered.",Positive,Positive,Positive
makes you asshamed to be dutch,Positive,Negative,Positive
i hate light beer! this one sucks,Negative,Negative,Negative
"blond and bland. inoffensive, but entirely lacking in character. nothing much else to say really.",Negative,Negative,Negative
"on bottle at beck s. good intensity fruity aromas medium body complexity. citrus aromas, refreshing and well balanced enjoyable",Positive,Positive,Positive
"i really like this beer. clean, crisp and goes down easy what more do you want",Positive,Positive,Positive
"12 oz. bottle from total wine in chesapeake. hazy yellow pour with a thick white head. banana, clove, apple, and pear aroma. good wheat flavor, banana, bubblegum, and cloves. nothing citrusy, just a solid hefeweizen. i thought this was very good.",Positive,Positive,Positive
"medium body, creamy, long finish,caramel, roasty, chocolate, finally able to get my hands on a bottle of this much hyped beer. it did not disappoint. very impressed, lots of dark chocolate taste, and a beautiful finish. leaves me wanting more.",Positive,Positive,Positive
"draft. black, thick white head. aroma is dull roasted malt. taste is better, bit more complex - but still just roast. creamy, but no aftertaste. not bad, but dull.",Positive,Positive,Positive
"500ml bottle, 7.7 a v pours a cloudy light gold, very obviously a wheat beer. the head is rocky and amazingly pretty. aroma is also fairly typical for a wheat brew, spices, a bit of banana and orange, nothing at all tells you this is nearly 8 from the nose. taste is initially very wheaty and smooth but quickly turns into a nice deep malty palate with a lingering taste of alcohol and going down warm! there is almost a bit of a disconnect between appearance and smell compared to the taste and palate. very intriguing and a great fall winter sipper",Positive,Positive,Positive
"pours cloudy and bright orange yellow. almost looks like orange juice. aroma is bursting with citrus and tropical fruits and is typical tg. taste is absolutely amazing and juicy. full of orange, peach, mango, and pineapple. been wanting to try this for a while and reeceg came through for me. absolutely superb.",Positive,Positive,Positive
"aaarrgh poison in a can i cant stress enough how bad this beer was. my girlfriends sister recently got married and one of her new husband s old college buddies brought a case of this to the reception as some sort of nostalgic thing. i didnt understand it. but i figured i d try it since i never had it and was offered the beast . after two of them it felt, no joke, like someone was dragging razor blades across my kidneys. it tasted like used auto coolant mixed with toilet water with the most horrid slimy mouthfeel. i almost vomited trying to put this death in a can down. stay away at all costs. i dont care how cheap it is, its not even worth a penny. if i could give this beer a score of 0 i would.",Negative,Negative,Negative
"pours a very dark brown with a creamy one inch head that rises up out of the beer nice aroma of coffee and roasted malts. thin consistency. strongest taste is of coffee, not much else in fact. maybe a couple sweet notes in the beginning and little dryness towards the end. hardly any carbonation. doesn t have the body of a stout i d love.",Positive,Positive,Positive
"dark brown color, small beige head, no resistance. malty, sweet aroma, some fruit, with alcohol feeling. also alcohol feeling on taste, but with addition of sweetness and lasting fruity feeling. really nice balanced, but because of combination malts and fruits with higher abv it is not for everyone taste. i am delighted. moderate body, medium carbonation. do not drink more than one for full pleasure.",Positive,Positive,Positive
"blehpours clear very pale yellow with a big white head. aroma is a little bready with some hops. mouthfeel is kind of pebbly, thin but actually a little more heft than alot of pale lagers. lots of ugly, foamy lacing - looks kind of like a rash. flavor is some corn-like sweetness and some unappealing, biting bitterness. some hints of bread in warmer samples. did not like although i was surprised there was no skunkiness . one of those you just want to get through.",Negative,Negative,Negative
"this hefe weizen poured a hazy amber color with a full head and nice lace. the head diminished quickly, but the carbonation kept coming to give it a fresh bite throughout. it has a fruity smell , yet tastes more citrus. the taste was smooth with a biting finish. this hefe weizen is refreshing and lively.",Positive,Positive,Positive
let me get out my fork and spoon. no its a good beer. i can t drink to much of it at a time though.,Negative,Negative,Negative
"aug 1, 2006 this is one of my mainstream favorites, enjoyed recently on london trip in chelsea, but have also drank in praha. very refreshing and not too strong. clean.",Positive,Positive,Positive
"if i m homesick, it s for this brew. chocolate, toasty, man, i want it to snow here.",Positive,Negative,Positive
rich dark malts on the nose. full body and creamy chocolate raisin flavors. good muted coffee finish.,Positive,Positive,Positive
"i think it has a very very faint taste, so i can t even mention not liking the taste. aftertaste is sour but not as bad as busch or miller. as the gentleman before me mentioned, definately has to be cold to drink it.",Negative,Negative,Negative
a very special wheat beer. exceptional refreshment. a blessing on earth provided by the fine people of belgium.,Positive,Positive,Positive
30cl bottle poured into weizen glass. cloudy yellow with ample frothy head. smells spicy and sweet. tastes like orange peels. not bad but tastes very watered down.,Positive,Negative,Positive
"dark, rich brown color. slight head, light brown in color. quite sweet with hints of chocolate and caramel . sweet, malty flavor. unfortunately, tonight is my last night in prague so i probably won t get to try one of these again for a while. perhaps i ll have one tomorrow morning before my flight. that sounds like a great idea.",Positive,Positive,Positive
can. crystal clear hold. medium white head. smells like a pilsner. has a sugary corn taste. small bitter bite but nice and clean. feel like it would be good with dinner. -- rated with beerbasher,Positive,Positive,Positive
bottle thanks mom! pours jetttttt black with tear jerking tan head. aroma of coffee tons dark chocolate. tastes is like angel tears!,Positive,Positive,Positive
bottle. golden with one finger head. classic pale ale with mild malt body. big hoppy flavors of citrus and pine.,Positive,Positive,Positive
500 ml bottle to oversized snifter. looks good pitch black with thin dark-beige lacing. smells solid malty! tastes like it smells with some roastiness too. good on the palate the abv is subdued nicely. good beer.,Positive,Positive,Positive
"poured from a 500ml bottle into a tall tulip weiss glass a pours a gorgeous hazy, tawny, gold, with a huge rocky white head, which in turn seems to last forever a day. i think i could take a nap on this beer s head. throughout the beer, it leaves behind huge chunks of lacing that remind me of the archipelegos. s yeast is right there in your face, lots of cloves, bubblegum and a slight tart lemony scent are all present too. some nice fresh-baked bread brings it all together, this is an amazing smelling beer. t m sweetness hits the tip of the tongue immediately, but not cloyingly so. followed by a very creamy, almost buttery body and some nice citric bite. loads of bready malt cereal grain flavors combine with the tanginess of the wheat and lead to a enjoyably astringent finish. a delicious beer that often winds up being gulped and not sipped. d one of the all-time greats, probably the wheat beer that all others are measured against. one of the most drinkable beers around.",Positive,Positive,Positive
"pours a pale, clear gold with lots of visible carbonation and a white head. pale malts, grass, some sugary sweetness, maybe a little hay. not much to it. straightforward light american lager. andnot a badly constructed one at that. it isn t interesting, but it isn t one of the worst beers around.",Negative,Negative,Negative
"bottle shared by my brother. clear yellow pour with a medium white head. pilsner malt nose with crisp noble hops. pilsner malt flavor with a crisp, clean bitter finish. pretty solid for the style.",Positive,Positive,Positive
"draught. this beer looks better to me than it tastes, i only drink now and again for a change.",Negative,Negative,Negative
"overrated. weak head, weak lacing. goes flat after a few days. the hops are there, but the flavor leaves much to be desired.",Negative,Negative,Negative
"bottle 35,5 cl. clear yellow with a tall dense and white head. aroma of sulphur and brewing cereal. thin-bodied, soft mouthfeel, a little flat in carbonation, rice and absolutely no hops. 060709",Negative,Negative,Negative
"its only redeeming quality is that as a light beer, you taste less of the overall crappiness of the regualr version.",Negative,Negative,Negative
just another overrated beer a good beer not top tier on any level. sure i would drink it again but would not seek it out.,Negative,Negative,Negative
this hefeweizen is tops. very different from any other i have tried. hint of spice is distintive. smooth and full with a clean finish.,Positive,Positive,Positive
this brune pours like a tawny port! the nose is toasty and smells of black coffee with faint sweet raisin! the sweetish palate reveals a rather spicy mid-palate with both toasty and black coffee characters showing up once again. the bittersweet finish is persistent. somewhat similar to a stout!,Positive,Positive,Positive
"hazy orange, and a grand wheat aroma. refreshing flavours of banana, esters, bubblegum and coriander. it s a fine hefe-weizen.",Positive,Positive,Positive
"while this is certainly not a good beer, it is one of the few that will pass in a pinch. clear, light yellow, not a whole lot of aroma. a tad of hops and malt flavor and not too citric or carbonated. if you happen to be in a bar that doesn t have and good beers order thin one. you ll at least be able to make it to the bathroom before you vomit.",Negative,Negative,Negative
"pours dark black and thick with a thin chocolate brown head. aromas of oatmeal bread, chocolate, coffee and raisins, not overpowering. bready chocolate flavor with a great roasty taste that rises into your nose from the back of your throat. strong coffee-bitter finish coats the back of your tounge. full, oily body. not sure i d want it for breakfast, but was perfect for an after dinner dessert. thanks to eyedrinkale for the in-person trade.",Positive,Positive,Positive
"being the original has its advantages , however pilsener urquell doesn t need the advantages. it is simply the best pilsener on the planet, apart from its lineage. its deep golden color is unique in pilseners, as is its maltiness and sublimely spicy bouquet of saaz hops, which evolve from bitterness to delicious flavor to, of course, uniquely spicy aroma. i have tried budweiser budvar, its czech counterpart, 2 or 3 times and find urquell still better. sometimes the original is the best for a reason. perfect.",Positive,Positive,Positive
